                    c             cloctime              csunzen             radiance                   tb
          7.000000000          4.433060169        113.500007629          0.462599993         96.491996765
          7.000000000          4.433889866        113.488059998          0.484100014         97.431999207
          7.000000000          4.434720039        113.475517273          0.485100001         97.474998474
          7.000000000          4.429170132        113.560989380          0.458900005         96.327003479
          7.000000000          4.429999828        113.549026489          0.498400003         98.049003601
          7.000000000          4.430830002        113.536483765          0.468400002         96.749000549
          7.000000000          4.431389809        113.525062561          0.495900005         97.943000793
          7.000000000          4.432219982        113.512588501          0.467900008         96.727996826
          7.000000000          4.433060169        113.500053406          0.462599993         96.491996765
          7.000000000          4.433889866        113.488113403          0.484100014         97.431999207
          7.000000000          4.434720039        113.475570679          0.474000007         96.996002197
          8.000000000          4.429170132        113.562187195          0.273999989         94.777999878
          8.000000000          4.429719925        113.550781250          0.272599995         94.583000183
          8.000000000          4.430560112        113.538208008          0.280699998         95.665000916
          8.000000000          4.431389809        113.525962830          0.289600015         96.833999634
          8.000000000          4.432219982        113.512916565          0.289099991         96.766998291
          8.000000000          4.433060169        113.501129150          0.279500008         95.499000549
          8.000000000          4.433889866        113.488113403          0.283699989         96.067001343
          8.000000000          4.434720039        113.475471497          0.258599997         92.700996399
          8.000000000          4.429170132        113.562240601          0.273999989         94.778999329
          8.000000000          4.429719925        113.550827026          0.276699990         95.134002686
          8.000000000          4.430560112        113.538261414          0.249200001         91.406997681
          8.000000000          4.431389809        113.526008606          0.269400001         94.154998779
          8.000000000          4.432219982        113.512977600          0.292800009         97.251998901
          8.000000000          4.433060169        113.501182556          0.265799999         93.680000305
          8.000000000          4.433889866        113.488151550          0.280299991         95.612998962
          8.000000000          4.434720039        113.475517273          0.262100011         93.169998169
          8.000000000          4.429170132        113.562286377          0.278499991         95.377998352
          8.000000000          4.429719925        113.550888062          0.264299989         93.473999023
          8.000000000          4.430560112        113.538307190          0.268900007         94.088996887
          8.000000000          4.431389809        113.526046753          0.277500004         95.234001160
          8.000000000          4.432219982        113.513023376          0.270500004         94.305999756
          8.000000000          4.433060169        113.501228333          0.275999993         95.047996521
          8.000000000          4.433889866        113.488197327          0.287200004         96.516998291
          8.000000000          4.434720039        113.475563049          0.258599997         92.699996948
          8.000000000          4.429170132        113.562347412          0.282999992         95.974998474
          8.000000000          4.429719925        113.550941467          0.272599995         94.583000183
          8.000000000          4.430560112        113.538360596          0.264899999         93.557998657
          8.000000000          4.431389809        113.526100159          0.285499990         96.302001953
          8.000000000          4.432219982        113.513069153          0.266799986         93.806999207
          8.000000000          4.433060169        113.501266479          0.252200007         91.828002930
          8.000000000          4.433889866        113.488243103          0.270000011         94.239997864
          8.000000000          4.434720039        113.475608826          0.255100012         92.227996826
          8.000000000          4.429170132        113.562400818          0.264999986         93.570999146
          8.000000000          4.429719925        113.550987244          0.251899987         91.787002563
          8.000000000          4.430560112        113.538406372          0.276800007         95.141998291
          8.000000000          4.431389809        113.526153564          0.281500012         95.768997192
          8.000000000          4.432219982        113.513122559          0.266799986         93.806999207
          8.000000000          4.433060169        113.501319885          0.265799999         93.679000854
          8.000000000          4.433889866        113.488288879          0.273400009         94.698997498
          8.000000000          4.434720039        113.475646973          0.275900006         95.027000427
          8.000000000          4.429170132        113.562446594          0.269499987         94.178001404
          8.000000000          4.429719925        113.551040649          0.243699998         90.644996643
          8.000000000          4.430560112        113.538459778          0.280699998         95.664001465
          8.000000000          4.431389809        113.526206970          0.277399987         95.233001709
          8.000000000          4.432219982        113.513168335          0.266799986         93.805999756
          8.000000000          4.433060169        113.501373291          0.275999993         95.046997070
          8.000000000          4.433889866        113.488342285          0.273400009         94.697998047
          8.000000000          4.434720039        113.475700378          0.272399992         94.564002991
          8.000000000          4.428890228        113.562507629          0.287600011         96.568000793
          8.000000000          4.429719925        113.551086426          0.272599995         94.583999634
          8.000000000          4.430560112        113.538513184          0.256999999         92.487998962
          8.000000000          4.431389809        113.526252747          0.277399987         95.233001709
          8.000000000          4.432219982        113.513221741          0.266799986         93.805999756
          8.000000000          4.433060169        113.501419067          0.275999993         95.045997620
          8.000000000          4.433889866        113.488388062          0.283699989         96.064002991
          8.000000000          4.434720039        113.475753784          0.282799989         95.942001343
          8.000000000          4.428890228        113.562561035          0.274100006         94.781997681
          8.000000000          4.429719925        113.551147461          0.272599995         94.583999634
          8.000000000          4.430560112        113.538566589          0.268900007         94.088996887
          8.000000000          4.431389809        113.526313782          0.261299998         93.063003540
          8.000000000          4.432219982        113.513267517          0.266799986         93.805999756
          8.000000000          4.433060169        113.501457214          0.289600015         96.841003418
          8.000000000          4.433889866        113.488426208          0.304300010         98.745002747
          8.000000000          4.434720039        113.475791931          0.289700001         96.849998474
          8.000000000          4.428890228        113.562606812          0.265100002         93.573997498
          8.000000000          4.429719925        113.551200867          0.293199986         97.307998657
          8.000000000          4.430560112        113.538619995          0.280699998         95.664001465
          8.000000000          4.431389809        113.526359558          0.261299998         93.061996460
          8.000000000          4.432219982        113.513320923          0.285299987         96.277000427
          8.000000000          4.433060169        113.501518250          0.286199987         96.393997192
          8.000000000          4.433889866        113.488479614          0.317999989        100.499000549
          8.000000000          4.434720039        113.475852966          0.282799989         95.941001892
          8.000000000          4.428890228        113.562660217          0.283100009         95.977996826
          8.000000000          4.429719925        113.551246643          0.280800015         95.681999207
          8.000000000          4.430560112        113.538673401          0.268900007         94.087997437
          8.000000000          4.431389809        113.526412964          0.261299998         93.061996460
          8.000000000          4.432219982        113.513366699          0.281599998         95.787002563
          8.000000000          4.433060169        113.501556396          0.289600015         96.839996338
          8.000000000          4.433889866        113.488533020          0.352400005        104.778999329
          8.000000000          4.434720039        113.475883484          0.289700001         96.848999023
          8.000000000          4.428890228        113.562713623          0.269600004         94.180999756
          8.000000000          4.429719925        113.551300049          0.293199986         97.307998657
          8.000000000          4.430560112        113.538711548          0.280699998         95.663002014
          8.000000000          4.431389809        113.526451111          0.281500012         95.767997742
          8.000000000          4.432219982        113.513412476          0.277900010         95.294998169
          8.000000000          4.433060169        113.501602173          0.275999993         95.044998169
          8.000000000          4.433889866        113.488571167          0.348899990        104.357002258
          8.000000000          4.434720039        113.475929260          0.303499997         98.643997192
          8.000000000          4.428890228        113.562767029          0.278600007         95.382003784
          8.000000000          4.429719925        113.551353455          0.289099991         96.768997192
          8.000000000          4.430560112        113.538757324          0.288599998         96.700996399
          8.000000000          4.431389809        113.526496887          0.285499990         96.300003052
          8.000000000          4.432219982        113.513458252          0.270500004         94.303001404
          8.000000000          4.433060169        113.501663208          0.282799989         95.945999146
          8.000000000          4.433889866        113.488616943          0.328299999        101.796997070
          8.000000000          4.434720039        113.475982666          0.293099999         97.299003601
